;faixa_idade;faixa_salarial;graduacao;nivel;experiencia;sexo;ling_sql;ling_r;ling_python;fonte_relacional;bd_mysql;bd_sqlserver;bd_mongodb;cloud_amazon;cloud_google;cloud_microsoft;bi_powerbi;bi_tableau;bi_google;trab_CLT;trab_exterior;regiao_Centro_Oeste;regiao_Exterior;regiao_Nordeste;regiao_Norte;regiao_Sudeste;regiao_Sul;forma_trab_hibrido_com_dias_fixos;forma_trab_hibrido_flexível;forma_trab_totalmente_presencial;forma_trab_totalmente_remoto;atuacao_Analise_Dados;atuacao_Ciencia_Dados;atuacao_Engenharia_Dados;atuacao_Gestor;atuacao_Outra
131;4;12;3;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
132;4;11;5;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0
133;6;7;2;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
134;3;10;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
135;4;9;3;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
136;5;10;4;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0
137;3;9;2;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0
138;3;9;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0
139;4;8;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
140;4;8;3;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
141;3;7;3;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0
142;6;12;3;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
143;3;9;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0
144;4;8;3;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
